brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price,split
mg,astor,sharp ex mt,26 opposite avalahalli bda park,ka-05,petrol,manual,dealer,red,4.0,28793.0,7198.2,1,1.0,560066.0,986000.0,train
mahindra,xuv300,w8 (o,hebbal,ka-36,diesel,manual,dealer,white,5.0,85655.0,17131.0,2,1.0,560064.0,746300.0,train
mahindra,thar,lx hard top at 4wd,hebbal,ka-51,petrol,automatic,dealer,unknown,4.0,34000.0,8500.0,1,1.0,562157.0,1322000.0,train
maruti suzuki,baleno,zeta,hebbal,ka-53,petrol,manual,dealer,blue,10.0,46078.0,4607.8,1,1.0,560064.0,504900.0,train
renault,kwid,rxt amt,unknown,ka-25,petrol,automatic,unknown,unknown,7.0,53355.0,7622.1,1,,,316000.0,train
tata,nexon,xz plus kaziranga,unknown,22bh,petrol,manual,unknown,unknown,4.0,72058.0,18014.5,1,,,950000.0,train
maruti suzuki,swift,zxi plus,unknown,unknown,petrol,manual,unknown,unknown,2.0,5500.0,2750.0,1,,,850000.0,train
kia,carens,prestige mt 7 str,hebbal,ka-03,petrol,manual,dealer,grey,3.0,27000.0,9000.0,1,1.0,562157.0,1139000.0,train
hyundai,xcent,s (o,malleshwaram,ka-03,petrol,manual,dealer,blue,11.0,52000.0,4727.3,1,0.0,560003.0,397000.0,train
honda,jazz,v at,gandhi nagar,ka-05,petrol,automatic,dealer,white,10.0,146324.0,14632.4,1,1.0,560009.0,288100.0,train
maruti suzuki,swift,vxi,banashankari,ka-05,petrol,manual,dealer,unknown,7.0,56495.0,8070.7,1,1.0,560070.0,600000.0,train
renault,kwid,climber amt,unknown,ka-50,petrol,automatic,dealer,unknown,9.0,55157.0,6128.6,4,1.0,,225000.0,train
honda,br-v,v cvt,hebbal,ka-53,petrol,automatic,dealer,silver,9.0,96981.0,10775.7,2,1.0,560064.0,503751.0,train
volkswagen,polo,highline1.2l,hebbal,ka-09,petrol,manual,dealer,grey,9.0,67905.0,7545.0,1,1.0,560064.0,533500.0,train
ford,ecosport,titanium tdci,mysore road,ka-02,diesel,manual,dealer,white,10.0,136500.0,13650.0,1,0.0,560039.0,538000.0,train
maruti suzuki,baleno,sigma,sarjapur road,ka-08,petrol,manual,dealer,blue,10.0,112543.0,11254.3,3,1.0,560035.0,357000.0,train
maruti suzuki,wagon r,vxi,hebbal,ka-25,petrol,manual,dealer,unknown,10.0,82500.0,8250.0,1,1.0,562157.0,350000.0,train
hyundai,i10,magna kappa2,bannerghatta,ka-02,petrol,manual,dealer,grey,14.0,99000.0,7071.4,1,0.0,560076.0,230000.0,train
maruti suzuki,xl6,alpha mt,nexus shanti niketan mall,ka-03,petrol,manual,dealer,unknown,3.0,10500.0,3500.0,1,1.0,560066.0,1115000.0,train
hyundai,grand i10,sportz (o) at kappa,unknown,ka-05,petrol,automatic,dealer,unknown,9.0,75716.0,8412.9,1,1.0,,498000.0,train
kia,syros,htx plus (o) 7dct,hebbal,ka-19,petrol,automatic,dealer,blue,1.0,19000.0,19000.0,1,1.0,560103.0,1456000.0,train
maruti suzuki,grand vitara,alpha plus ecvt,gandhi nagar,ka-53,hybrid,automatic,dealer,grey,3.0,71807.0,23935.7,1,1.0,560009.0,1205400.0,train
volkswagen,taigun,gt plus dsg,hebbal,ka-05,petrol,automatic,dealer,silver,2.0,70578.0,35289.0,1,1.0,560064.0,1329032.0,train
ford,figo,exi,unknown,ka-02,diesel,manual,dealer,unknown,13.0,95645.0,7357.3,1,,,175000.0,train
maruti suzuki,celerio,zxi amt,kalyan nagar,ka-01,petrol,automatic,dealer,unknown,10.0,69039.0,6903.9,1,1.0,560043.0,350000.0,train
volkswagen,polo,highline1.2l,bannerghatta,ka-03,petrol,manual,dealer,unknown,12.0,42500.0,3541.7,1,0.0,560076.0,505000.0,train
tata,tiago,xt,koramangala,ka-03,petrol,manual,dealer,unknown,10.0,37954.0,3795.4,2,1.0,560034.0,335525.0,train
renault,duster,85 ps rxz,banaswadi,ka-03,diesel,manual,dealer,orange,10.0,124859.0,12485.9,1,1.0,560066.0,599411.0,train
