city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller_type,locality,pincode,age,avg_km_per_year,usage_category,price_per_year,locality_density,make_model_trim_combo,popularity_score,make_model_year_avg_price,price_deviation_pct
bangalore,2017.0,hyundai,creta,sx plus at 1.6 petrol,94137.0,petrol,automatic,ka-03,730000.0,mass market,direct seller,bellahalli,560066.0,9.0,10459.67,medium,81111.11,15091,hyundai_creta_sx plus at 1.6 petrol,1190,745794.5,-2.12
bangalore,2021.0,maruti suzuki,baleno,delta petrol 1.2,49791.0,petrol,manual,ka-66,577000.0,mass market,direct seller,bellahalli,560064.0,5.0,9958.2,medium,115400.0,15091,maruti suzuki_baleno_delta petrol 1.2,1056,633180.96,-8.87
bangalore,2017.0,hyundai,i20 active,1.2 sx,67856.0,petrol,manual,ka-04,511000.0,mass market,direct seller,bellahalli,560066.0,9.0,7539.56,low,56777.78,15091,hyundai_i20 active_1.2 sx,123,535179.72,-4.52
bangalore,2021.0,hyundai,venue,sx 1.0 (o) turbo imt,69111.0,petrol,manual,ka-19,749000.0,mass market,direct seller,bellahalli,560064.0,5.0,13822.2,medium,149800.0,15091,hyundai_venue_sx 1.0 (o) turbo imt,448,765074.01,-2.1
bangalore,2021.0,renault,kwid,rxl 1.0 amt,30112.0,petrol,automatic,ka-09,275000.0,mass market,direct seller,vega city mall,560066.0,5.0,6022.4,low,55000.0,1492,renault_kwid_rxl 1.0 amt,1138,386097.05,-28.77
bangalore,2018.0,maruti suzuki,baleno,zeta petrol 1.2,77309.0,petrol,manual,ka-09,515000.0,mass market,direct seller,vega city mall,560066.0,8.0,9663.62,medium,64375.0,1492,maruti suzuki_baleno_zeta petrol 1.2,1056,548877.24,-6.17
bangalore,2016.0,maruti suzuki,swift,zxi,38175.0,petrol,manual,ka-35,456000.0,mass market,direct seller,bellahalli,560064.0,10.0,3817.5,low,45600.0,15091,maruti suzuki_swift_zxi,1070,469594.59,-2.89
bangalore,2014.0,datsun,go,t,43209.0,petrol,manual,ka-09,153000.0,mass market,direct seller,vega city mall,560066.0,12.0,3600.75,low,12750.0,1492,datsun_go_t,31,162670.93,-5.95
bangalore,2018.0,tata,nexon,xm petrol,71164.0,petrol,manual,ka-01,514000.0,mass market,direct seller,bellahalli,560066.0,8.0,8895.5,medium,64250.0,15091,tata_nexon_xm petrol,764,560070.57,-8.23
bangalore,2018.0,hyundai,eon,magna +,18460.0,petrol,manual,ka-20,257000.0,mass market,direct seller,bellahalli,560064.0,8.0,2307.5,low,32125.0,15091,hyundai_eon_magna +,417,263303.09,-2.39
bangalore,2017.0,maruti suzuki,baleno,zeta petrol 1.2,74141.0,petrol,manual,ka-41,518000.0,mass market,direct seller,bellahalli,560066.0,9.0,8237.89,medium,57555.56,15091,maruti suzuki_baleno_zeta petrol 1.2,1056,514334.32,0.71
bangalore,2023.0,tata,nexon,xm petrol,22115.0,petrol,manual,ka-05,756000.0,mass market,direct seller,bellahalli,560066.0,3.0,7371.67,low,252000.0,15091,tata_nexon_xm petrol,764,982796.93,-23.08
bangalore,2022.0,kia,seltos,htk plus 1.5 imt,75876.0,petrol,manual,ka-01,780000.0,mass market,direct seller,bellahalli,560066.0,4.0,18969.0,high,195000.0,15091,kia_seltos_htk plus 1.5 imt,628,1214441.85,-35.77
bangalore,2023.0,maruti suzuki,baleno,alpha petrol 1.2,48307.0,petrol,manual,ka-50,792000.0,mass market,direct seller,bellahalli,560064.0,3.0,16102.33,high,264000.0,15091,maruti suzuki_baleno_alpha petrol 1.2,1056,793121.57,-0.14
bangalore,2016.0,maruti suzuki,celerio,ldi,69066.0,diesel,manual,ka-19,276000.0,mass market,direct seller,bellahalli,560064.0,10.0,6906.6,low,27600.0,15091,maruti suzuki_celerio_ldi,692,330335.64,-16.45
bangalore,2022.0,hyundai,venue,sx 1.0 turbo imt,43696.0,petrol,manual,ka-01,745000.0,mass market,direct seller,bellahalli,560066.0,4.0,10924.0,medium,186250.0,15091,hyundai_venue_sx 1.0 turbo imt,448,874787.8,-14.84
bangalore,2019.0,hyundai,new santro,sportz amt,29484.0,petrol,automatic,ka-50,396000.0,mass market,direct seller,bellahalli,560064.0,7.0,4212.0,low,56571.43,15091,hyundai_new santro_sportz amt,102,382489.3,3.53
bangalore,2018.0,ford,ecosport,titanium + 1.5l diesel,79183.0,diesel,manual,ka-63,651000.0,mass market,direct seller,whitefield,560066.0,8.0,9897.88,medium,81375.0,677,ford_ecosport_titanium + 1.5l diesel,540,703570.36,-7.47
bangalore,2023.0,maruti suzuki,fronx,delta plus 1.2mt,31992.0,petrol,manual,ka-34,699000.0,mass market,direct seller,bellahalli,560064.0,3.0,10664.0,medium,233000.0,15091,maruti suzuki_fronx_delta plus 1.2mt,39,754200.2,-7.32
bangalore,2017.0,hyundai,creta,sx plus at 1.6 petrol,73319.0,petrol,automatic,ka-02,670000.0,mass market,direct seller,bellahalli,560066.0,9.0,8146.56,medium,74444.44,15091,hyundai_creta_sx plus at 1.6 petrol,1190,745794.5,-10.16
bangalore,2022.0,volkswagen,taigun,topline 1.0 tsi mt,136897.0,petrol,manual,ka-09,770000.0,mass market,direct seller,vega city mall,560066.0,4.0,34224.25,very high,192500.0,1492,volkswagen_taigun_topline 1.0 tsi mt,38,788137.5,-2.3
bangalore,2019.0,renault,kwid,rxt 1.0 (o),42522.0,petrol,manual,ka-05,328000.0,mass market,direct seller,bellahalli,560066.0,7.0,6074.57,low,46857.14,15091,renault_kwid_rxt 1.0 (o),1138,318731.17,2.91
bangalore,2018.0,hyundai,creta,sx at 1.6 petrol,20744.0,petrol,automatic,ka-09,794000.0,mass market,direct seller,vega city mall,560066.0,8.0,2593.0,low,99250.0,1492,hyundai_creta_sx at 1.6 petrol,1190,857152.71,-7.37
bangalore,2015.0,maruti suzuki,alto k10,vxi amt,79374.0,petrol,automatic,ka-51,232000.0,mass market,direct seller,bellahalli,560066.0,11.0,7215.82,low,21090.91,15091,maruti suzuki_alto k10_vxi amt,655,263027.73,-11.8
bangalore,2019.0,honda,amaze,1.5l i-dtec v,31668.0,diesel,manual,ka-20,589000.0,mass market,direct seller,bellahalli,560064.0,7.0,4524.0,low,84142.86,15091,honda_amaze_1.5l i-dtec v,433,554943.02,6.14
bangalore,2016.0,honda,city,1.5l i-vtec v mt,86897.0,petrol,manual,ka-41,463000.0,mass market,direct seller,bellahalli,560066.0,10.0,8689.7,medium,46300.0,15091,honda_city_1.5l i-vtec v mt,966,532866.9,-13.11
bangalore,2023.0,tata,nexon,fearless + sunroof dca dual tone 1.2 petrol,33502.0,petrol,automatic,ka-09,1110000.0,mass market,direct seller,vega city mall,560066.0,3.0,11167.33,medium,370000.0,1492,tata_nexon_fearless + sunroof dca dual tone 1.2 petrol,764,982796.93,12.94
bangalore,2019.0,honda,city,1.5l i-vtec v mt,64437.0,petrol,manual,ka-01,641000.0,mass market,direct seller,bellahalli,560066.0,7.0,9205.29,medium,91571.43,15091,honda_city_1.5l i-vtec v mt,966,677234.75,-5.35
bangalore,2022.0,mahindra,xuv300,w8 (o) 1.2 petrol amt,12444.0,petrol,automatic,ka-50,898000.0,mass market,direct seller,bellahalli,560064.0,4.0,3111.0,low,224500.0,15091,mahindra_xuv300_w8 (o) 1.2 petrol amt,333,876586.71,2.44
bangalore,2018.0,maruti suzuki,celerio,zxi amt (o),41594.0,petrol,automatic,ka-04,414000.0,mass market,direct seller,bellahalli,560066.0,8.0,5199.25,low,51750.0,15091,maruti suzuki_celerio_zxi amt (o),692,389750.71,6.22
