segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,S1 Owned,Yes,Bangalore,Datsun,Go,T(O) CVT,46296.0,Petrol,Automatic,KA-01,406115.0,nexus whitefield,560066.0,2.0,Red,7.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,PUNCH,CREATIVE MT,104764.0,Petrol,Manual,KA-44,595393.0,bellahalli,560064.0,1.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,Rapid,AMBITION 1.6 MPI AT,66472.0,Petrol,Automatic,KA-01,560000.0,bellahalli,560064.0,1.0,Beige,9.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX PLUS AT 1.6 PETROL,59262.0,Petrol,Automatic,KA-50,631300.0,bhoruka tech park,560066.0,3.0,Black,9.0
Mass Market,S1 Owned,Yes,Bangalore,MG,HECTOR,SHARP 2.0 DIESEL,84678.0,Diesel,Manual,KA-02,1080000.0,bellahalli,560064.0,1.0,Purple,5.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,ALTROZ,XM PLUS PETROL,22278.0,Petrol,Manual,KA-09,534600.0,bhoruka tech park,560066.0,1.0,Grey,5.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Verna,SX (O) 1.5 TURBO PETROL MT,35672.0,Petrol,Manual,KA-19,1150000.0,gt world mall,560023.0,1.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,Innova Crysta,2.4 ZX 7STR,16012.0,Diesel,Manual,KA-51,3160000.0,gt world mall,560023.0,1.0,White,1.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX PLUS AT 1.6 PETROL,72047.0,Petrol,Automatic,KA-19,708100.0,bellahalli,560064.0,1.0,White,8.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Ameo,COMFORTLINE 1.2L,139949.0,Petrol,Manual,KA-09,320385.0,koramangala,560034.0,2.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Kia,SONET,HTK PLUS 1.0 IMT,64195.0,Petrol,Manual,KA-05,668800.0,gt world mall,560023.0,1.0,Black,3.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZ PLUS (O) DIESEL,132141.0,Diesel,Manual,KA-22,784500.0,nexus whitefield,560066.0,1.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX PLUS AT 1.6 DIESEL,145460.0,Diesel,Automatic,KA-03,607800.0,bhoruka tech park,560066.0,1.0,Silver,10.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,ASTA 1.4 CRDI,99528.0,Diesel,Manual,KA-53,464100.0,gt world mall,560023.0,1.0,White,11.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,VENUE N LINE,N8 1.0 TURBO DCT,21977.0,Petrol,Automatic,KA-25,991200.0,bellahalli,560064.0,1.0,White,2.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,VENUE N LINE,N8 1.0 TURBO DCT,39380.0,Petrol,Automatic,KA-20,869200.0,bellahalli,560064.0,2.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Safari,XZA PLUS KAZIRANGA,127794.0,Diesel,Automatic,KA-26,1490000.0,nexus whitefield,560066.0,1.0,Beige,4.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX PLUS AT 1.6 PETROL,127777.0,Petrol,Automatic,KA-03,577300.0,nexus whitefield,560066.0,2.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XM DIESEL,73579.0,Diesel,Manual,KA-27,695800.0,gt world mall,560023.0,1.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Celerio,ZXI PLUS,17056.0,Petrol,Manual,KA-25,450000.0,bellahalli,560064.0,1.0,Red,5.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM + 1.5L PETROL AT,38730.0,Petrol,Automatic,KA-50,738000.0,bellahalli,560064.0,2.0,White,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Vitara Brezza,ZDI,66687.0,Diesel,Manual,KA-04,593500.0,nexus whitefield,560066.0,1.0,Red,10.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,Jazz,1.2L I-VTEC SV,50538.0,Petrol,Manual,KA-05,360640.0,yeswanthpur,560022.0,1.0,White,10.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 1.0 (O),72008.0,Petrol,Manual,KA-51,305600.0,gandhi nagar,560009.0,2.0,Brown,6.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,VENUE,SX 1.0 TURBO,59700.0,Petrol,Manual,KA-02,681100.0,nexus whitefield,560066.0,1.0,White,6.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,Thar,LX PETROL HT 4WD AT,20807.0,Petrol,Automatic,KA-01,1256100.0,gandhi nagar,560009.0,1.0,Grey,4.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,Thar,LX P 2WD AT HT,24135.0,Petrol,Automatic,KA-03,1220000.0,bellahalli,560064.0,1.0,Black,3.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,Rapid,AMBITION 1.6 MPI MT PLUS,38142.0,Petrol,Manual,KA-01,405000.0,bellahalli,560064.0,1.0,Silver,12.0
Mass Market,S1 Owned,Yes,Bangalore,Datsun,Go,T,56119.0,Petrol,Manual,TN-04,146605.0,bellahalli,560064.0,1.0,Blue,12.0
Mass Market,S1 Owned,Yes,Bangalore,MG,HECTOR,SHARP 2.0 DIESEL,44255.0,Diesel,Manual,KA-27,1148000.0,gandhi nagar,560009.0,2.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Jeep,Compass,LONGITUDE (O) 1.4 PETROL AT,21631.0,Petrol,Automatic,KA-03,915000.0,bhoruka tech park,560066.0,1.0,Black,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,VXI AMT,49035.0,Petrol,Automatic,KA-07,500910.0,yeswanthpur,560022.0,1.0,Brown,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,ZXI,99186.0,Petrol,Manual,KA-05,380000.0,nexus whitefield,560066.0,2.0,Red,13.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,DELTA PETROL 1.2,71533.0,Petrol,Manual,KA-01,501022.0,gt world mall,560023.0,1.0,Silver,6.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZ PLUS PETROL,50400.0,Petrol,Manual,KA-01,688211.0,gt world mall,560023.0,1.0,Grey,4.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XM PETROL,113794.0,Petrol,Manual,KA-19,504400.0,nexus whitefield,560066.0,1.0,Grey,7.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM 1.5L PETROL AT,92683.0,Petrol,Automatic,KA-03,438506.0,bellahalli,560064.0,1.0,Silver,11.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 0.8,61859.0,Petrol,Manual,KA-53,235000.0,nexus whitefield,560066.0,2.0,Silver,11.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Tiago,XZA PLUS PETROL,63274.0,Petrol,Automatic,KA-03,496327.0,bhoruka tech park,560066.0,1.0,Silver,5.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV500,W7,111404.0,Diesel,Manual,KA-05,764500.0,yeswanthpur,560022.0,2.0,Silver,8.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI AMT,43863.0,Petrol,Automatic,KA-41,324149.0,bellahalli,560064.0,1.0,White,7.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,Jazz,1.2L I-VTEC V AT,77421.0,Petrol,Automatic,KA-51,309000.0,bhoruka tech park,560066.0,3.0,Silver,11.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT DUAL TONE,60905.0,Petrol,Manual,KA-41,480000.0,bellahalli,560064.0,1.0,White,7.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,Thar,LX P 2WD AT HT,31978.0,Petrol,Automatic,KA-05,1206000.0,yeswanthpur,560022.0,1.0,Blue,2.0
Mass Market,S1 Owned,Yes,Bangalore,Datsun,Go,A EPS,63755.0,Petrol,Manual,KA-05,226400.0,nexus whitefield,560066.0,1.0,Red,8.0
Mass Market,S1 Owned,Yes,Bangalore,MG,HECTOR,SHARP HYBRID 1.5 PETROL,62044.0,Petrol,Manual,KA-51,908400.0,yeswanthpur,560022.0,2.0,Red,7.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,URBAN CRUISER HYRYDER,G HYBRID,64269.0,Hybrid,Automatic,KA-01,1290100.0,bhoruka tech park,560066.0,2.0,Red,3.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,ZXI,78723.0,Petrol,Manual,KA-21,483900.0,gandhi nagar,560009.0,2.0,Silver,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,ZXI AMT,75554.0,Petrol,Automatic,KA-51,540000.0,bellahalli,560064.0,1.0,Red,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ZETA PETROL 1.2,41977.0,Petrol,Manual,KA-51,583200.0,nexus whitefield,560066.0,1.0,Silver,5.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,ASTA 1.2,88054.0,Petrol,Manual,KA-53,545000.0,gandhi nagar,560009.0,1.0,Silver,8.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Polo,HIGHLINE1.2L,55148.0,Petrol,Manual,KA-03,453000.0,bhoruka tech park,560066.0,2.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM + 1.5L PETROL AT,81814.0,Petrol,Automatic,KA-02,657200.0,nexus whitefield,560066.0,2.0,Blue,8.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 1.0 (O),57054.0,Petrol,Manual,KA-01,275852.0,bellahalli,560064.0,1.0,Green,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Ertiga,ZXI,104247.0,Petrol,Manual,KA-05,474600.0,gt world mall,560023.0,1.0,Grey,11.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Verna,FLUIDIC 1.6 VTVT SX,71050.0,Petrol,Manual,KA-53,349200.0,yeswanthpur,560022.0,3.0,Purple,13.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI,91272.0,Petrol,Manual,KA-02,211080.0,gandhi nagar,560009.0,2.0,White,11.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV500,W8,110927.0,Diesel,Manual,KA-53,427800.0,nexus whitefield,560066.0,2.0,Purple,13.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,Scorpio,S3 PLUS,133015.0,Diesel,Manual,KA-50,839400.0,gt world mall,560023.0,1.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV500,W8,92368.0,Diesel,Manual,KA-41,611600.0,koramangala,560034.0,1.0,Purple,11.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,Jazz,1.5L I-DTEC S,138105.0,Diesel,Manual,KA-21,351900.0,nexus whitefield,560066.0,2.0,Red,11.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,Rapid,1.6 MPI ACTIVE,103909.0,Petrol,Manual,KA-05,329629.0,bellahalli,560064.0,1.0,White,10.0
Mass Market,S1 Owned,Yes,Bangalore,Chevrolet,Beat,LT PETROL,49068.0,Petrol,Manual,KA-53,211500.0,bellahalli,560064.0,1.0,White,11.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,VXI,31114.0,Petrol,Manual,KA-41,485000.0,gt world mall,560023.0,1.0,Grey,9.0
Mass Market,S1 Owned,Yes,Bangalore,Kia,SONET,HTK PLUS 1.0 DCT,50590.0,Petrol,Automatic,KA-05,730000.0,bellahalli,560064.0,1.0,Beige,6.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,SPORTZ 1.2,102976.0,Petrol,Manual,KA-53,413801.0,bellahalli,560064.0,3.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ZETA PETROL 1.2,53192.0,Petrol,Manual,KA-03,474100.0,gandhi nagar,560009.0,1.0,Blue,10.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZ PLUS (O) PETROL DARK EDITION,73349.0,Petrol,Manual,KA-03,780000.0,bellahalli,560064.0,1.0,Black,5.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX 1.5 PETROL,12831.0,Petrol,Manual,UP-16,1155000.0,bellahalli,560064.0,1.0,Grey,3.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM 1.5L PETROL AT,98522.0,Petrol,Automatic,KA-02,410647.0,gt world mall,560023.0,2.0,Brown,10.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI,94320.0,Petrol,Manual,KA-02,185926.0,bellahalli,560064.0,1.0,Red,13.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 1.0,72750.0,Petrol,Manual,KA-01,242200.0,bellahalli,560064.0,2.0,Red,8.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX 1.5 PETROL,102993.0,Diesel,Manual,KA-53,905800.0,gt world mall,560023.0,1.0,Red,4.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,XL6,ZETA MT,91523.0,Petrol,Manual,KA-54,795745.0,bellahalli,560064.0,1.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,Bolero,B6,78797.0,Diesel,Manual,KA-04,722800.0,bellahalli,560064.0,1.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV500,W8,124651.0,Diesel,Manual,KA-14,461200.0,gt world mall,560023.0,2.0,Silver,12.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV500,W10 AT,76221.0,Diesel,Automatic,KA-03,824500.0,bellahalli,560064.0,2.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,Jazz,1.2L I-VTEC V AT,97121.0,Petrol,Automatic,KA-05,323300.0,bellahalli,560064.0,1.0,Orange,11.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,Glanza,G CVT,105436.0,Petrol,Automatic,KA-03,520000.0,yeswanthpur,560022.0,1.0,Blue,7.0
Mass Market,S1 Owned,Yes,Bangalore,Chevrolet,Sail UVA,1.2 LT ABS,62982.0,Petrol,Manual,KA-01,201700.0,bellahalli,560064.0,2.0,Red,13.0
Mass Market,S1 Owned,Yes,Bangalore,Fiat,Grand Punto,EMOTION PACK 1.3 90 HP,102410.0,Diesel,Manual,KA-03,195000.0,bellahalli,560064.0,1.0,Black,13.0
Mass Market,S1 Owned,Yes,Bangalore,Fiat,Punto EVO,DYNAMIC 1.2,58852.0,Petrol,Manual,KA-04,256900.0,bellahalli,560064.0,2.0,Black,11.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,Rapid,AMBITION 1.6 MPI MT,34801.0,Petrol,Manual,KA-19,346026.0,yeswanthpur,560022.0,1.0,Silver,13.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,LXI,34181.0,Petrol,Manual,KA-67,537900.0,gandhi nagar,560009.0,1.0,Red,3.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,ZXI AMT,149965.0,Petrol,Automatic,KA-03,433400.0,nexus whitefield,560066.0,1.0,Red,8.0
Mass Market,S1 Owned,Yes,Bangalore,Kia,SONET,HTX 1.5,62919.0,Diesel,Manual,KA-05,794500.0,yeswanthpur,560022.0,2.0,Black,4.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ALPHA PETROL 1.2,48605.0,Petrol,Manual,KA-03,573156.0,bellahalli,560064.0,1.0,Grey,7.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Polo,HIGHLINE PLUS 1.0,39907.0,Petrol,Manual,KA-25,720000.0,bellahalli,560064.0,2.0,Red,5.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZ PLUS DIESEL SUNROOF,106442.0,Diesel,Manual,KA-03,770700.0,bellahalli,560064.0,2.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX (O) 1.4 TURBO DCT,81686.0,Petrol,Automatic,KA-03,1059191.0,bellahalli,560064.0,1.0,White,6.0
Mass Market,S1 Owned,Yes,Bangalore,Nissan,MAGNITE,XV PREMIUM TURBO (O) CVT,91247.0,Petrol,Automatic,KA-04,596600.0,bellahalli,560064.0,1.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Celerio,VXI,95484.0,Petrol,Manual,KA-51,250696.0,bhoruka tech park,560066.0,1.0,Red,11.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,56303.0,Petrol,Manual,KA-03,410000.0,gt world mall,560023.0,2.0,Silver,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI (O) AMT,47738.0,Petrol,Automatic,KA-20,280500.0,gt world mall,560023.0,2.0,Grey,8.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Tiago,XZA PETROL,26476.0,Petrol,Automatic,KA-03,394700.0,bellahalli,560064.0,2.0,Red,7.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 0.8 (O),78134.0,Petrol,Manual,KA-70,232548.0,nexus whitefield,560066.0,3.0,Red,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,S PRESSO,VXI PLUS (O) AMT,9104.0,Petrol,Automatic,KA-03,449112.0,gt world mall,560023.0,1.0,Blue,3.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX (O) IVT 1.5 PETROL,76695.0,Petrol,Automatic,KA-01,1170000.0,nexus whitefield,560066.0,1.0,Red,5.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,56371.0,Petrol,Manual,KA-04,415000.0,koramangala,560034.0,1.0,Grey,8.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,Glanza,V CVT,24627.0,Petrol,Automatic,KA-09,565000.0,bellahalli,560064.0,2.0,Blue,7.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,Rapid,1.5 TDI CR STYLE PLUS AT,92976.0,Diesel,Automatic,KA-01,374000.0,nexus whitefield,560066.0,1.0,Brown,10.0
Mass Market,S1 Owned,Yes,Bangalore,Fiat,Grand Punto,Dynamic 1.2,28153.0,Petrol,Manual,KA-04,281400.0,bellahalli,560064.0,2.0,Black,13.0
