segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,S1 Owned,Yes,Bangalore,Kia,SONET,HTK 1.5 DIESEL IMT,88942.0,Diesel,Manual,KA-01,671800.0,gandhi nagar,560009.0,1.0,Grey,3.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,ZXI PLUS AMT,73743.0,Petrol,Automatic,KA-05,504700.0,bellahalli,560064.0,2.0,White,6.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,SPORTZ 1.2,98911.0,Petrol,Manual,KA-05,417385.0,bhoruka tech park,560066.0,1.0,Grey,8.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W6 1.5 DIESEL,61041.0,Diesel,Manual,KA-50,641800.0,bhoruka tech park,560066.0,1.0,White,7.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Polo,COMFORTLINE 1.5L,70007.0,Diesel,Manual,KA-03,419796.0,bhoruka tech park,560066.0,1.0,Grey,12.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZA PLUS PETROL,65473.0,Petrol,Automatic,KA-41,485100.0,yeswanthpur,560022.0,3.0,Red,7.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 1.0,53083.0,Petrol,Manual,KA-05,257410.0,bellahalli,560064.0,1.0,Red,9.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Celerio,ZXI,96716.0,Petrol,Manual,KA-42,245442.0,bellahalli,560064.0,3.0,Red,12.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI,31197.0,Petrol,Manual,KA-05,287718.0,nexus whitefield,560066.0,1.0,Orange,8.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,S PLUS 1.4 TURBO DCT,117988.0,Petrol,Automatic,KA-53,1085000.0,gt world mall,560023.0,1.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Tucson,2WD AT GL DIESEL,143838.0,Diesel,Automatic,KA-02,790000.0,nexus whitefield,560066.0,2.0,Black,8.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Tiago,XZ PLUS CNG,59415.0,CNG,Manual,KA-03,531691.0,bellahalli,560064.0,2.0,Black,4.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,YARIS,VX CVT,119403.0,Petrol,Automatic,KA-42,560000.0,gandhi nagar,560009.0,2.0,White,8.0
Mass Market,S1 Owned,Yes,Bangalore,Fiat,Avventura,EMOTION MULTIJET 1.3,143458.0,Diesel,Manual,KA-03,350000.0,bellahalli,560064.0,2.0,Brown,11.0
Mass Market,S1 Owned,Yes,Bangalore,MG,HECTOR,SHARP 1.5 PETROL CVT,27929.0,Petrol,Automatic,KA-51,1205647.0,bhoruka tech park,560066.0,1.0,Grey,4.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,VXI,111583.0,Petrol,Manual,KA-51,329000.0,yeswanthpur,560022.0,2.0,White,12.0
