brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
volkswagen,polo,comfortline 1.0l (p),whitefield,ka-05,petrol,manual,dealer,white,7.0,46500.0,6642.9,1,0.0,560066.0,605000.0
maruti suzuki,alto k10,vxi (o) amt,whitefield,ka-51,petrol,automatic,dealer,silver,8.0,42000.0,5250.0,3,0.0,560066.0,308000.0
hyundai,grand i10,asta 1.2 kappa vtvt (o),whitefield,ka-02,petrol,manual,dealer,white,12.0,126500.0,10541.7,3,0.0,560066.0,274000.0
skoda,slavia,ambition 1.0l tsi mt,hebbal,ka-05,petrol,manual,dealer,black,4.0,37500.0,9375.0,1,1.0,562157.0,1008000.0
maruti suzuki,dzire,zdi plus amt,bannerghatta,ka-01,diesel,automatic,dealer,grey,9.0,72000.0,8000.0,3,0.0,560076.0,569000.0
tata,tiago,revotron xza,malleshwaram,ka-41,petrol,automatic,dealer,red,8.0,31500.0,3937.5,3,0.0,560003.0,391000.0
hyundai,xcent,s 1.2 (o),malleshwaram,ka-03,petrol,manual,dealer,blue,11.0,52000.0,4727.3,1,0.0,560003.0,388000.0
renault,triber,rxz easy-r amt,whitefield,ka-51,petrol,automatic,dealer,white,5.0,49500.0,9900.0,1,1.0,560066.0,568000.0
bmw,x1,sdrive20d xline,whitefield,ka-51,diesel,automatic,dealer,white,7.0,54000.0,7714.3,1,0.0,560066.0,2328000.0
renault,kwid,rxt 1.0 amt,malleshwaram,ka-04,petrol,automatic,dealer,blue,3.0,19500.0,6500.0,1,1.0,560003.0,518000.0
mg,hector plus,smart 1.5 petrol turbo cvt 6-str,hebbal,ka-20,petrol,automatic,dealer,grey,5.0,71000.0,14200.0,1,1.0,560103.0,1155000.0
hyundai,new i20,asta (o) 1.2 mt,bannerghatta,ka-03,petrol,manual,dealer,blue,3.0,17500.0,5833.3,1,1.0,560076.0,826000.0
maruti suzuki,alto 800,lxi,hebbal,ka-51,petrol,manual,dealer,red,12.0,49000.0,4083.3,1,0.0,562157.0,253000.0
hyundai,verna,fluidic 1.6 crdi sx,bannerghatta,ka-04,diesel,manual,dealer,red,12.0,120500.0,10041.7,2,0.0,560076.0,397000.0
hyundai,santro,sportz amt,whitefield,ka-05,petrol,automatic,dealer,blue,7.0,35000.0,5000.0,3,0.0,560066.0,392000.0
hyundai,santro,sportz,mysore road,ka-01,petrol,manual,dealer,silver,7.0,44000.0,6285.7,2,1.0,560039.0,392000.0
maruti suzuki,xl6,zeta mt cng,malleshwaram,ka-02,cng,manual,dealer,silver,1.0,25500.0,25500.0,1,1.0,560003.0,1194000.0
