city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2017.0,Hyundai,Creta,SX PLUS AT 1.6 PETROL,73319.0,Petrol,Automatic,KA-02,670000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2022.0,Volkswagen,TAIGUN,TOPLINE 1.0 TSI MT,136897.0,Petrol,Manual,KA-09,770000.0,Mass Market,Direct Seller,vega city mall,560066.0,4.0
Bangalore,2019.0,Renault,Kwid,RXT 1.0 (O),42522.0,Petrol,Manual,KA-05,328000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2018.0,Hyundai,Creta,SX AT 1.6 PETROL,20744.0,Petrol,Automatic,KA-09,794000.0,Mass Market,Direct Seller,vega city mall,560066.0,8.0
Bangalore,2015.0,Maruti Suzuki,Alto K10,VXI AMT,79374.0,Petrol,Automatic,KA-51,232000.0,Mass Market,Direct Seller,bellahalli,560066.0,11.0
Bangalore,2019.0,Honda,Amaze,1.5L I-DTEC V,31668.0,Diesel,Manual,KA-20,589000.0,Mass Market,Direct Seller,bellahalli,560064.0,7.0
Bangalore,2016.0,Honda,City,1.5L I-VTEC V MT,86897.0,Petrol,Manual,KA-41,463000.0,Mass Market,Direct Seller,bellahalli,560066.0,10.0
Bangalore,2023.0,Tata,NEXON,FEARLESS + SUNROOF DCA DUAL TONE 1.2 PETROL,33502.0,Petrol,Automatic,KA-09,1110000.0,Mass Market,Direct Seller,vega city mall,560066.0,3.0
Bangalore,2019.0,Honda,City,1.5L I-VTEC V MT,64437.0,Petrol,Manual,KA-01,641000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2022.0,Mahindra,XUV300,W8 (O) 1.2 PETROL AMT,12444.0,Petrol,Automatic,KA-50,898000.0,Mass Market,Direct Seller,bellahalli,560064.0,4.0
Bangalore,2018.0,Maruti Suzuki,Celerio,ZXI AMT (O),41594.0,Petrol,Automatic,KA-04,414000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2020.0,MG,HECTOR,SHARP 2.0 DIESEL,125669.0,Diesel,Manual,KA-19,902000.0,Mass Market,Direct Seller,bellahalli,560064.0,6.0
Bangalore,2020.0,Volkswagen,Vento,HIGHLINE PLUS 1.0L TSI AT,92609.0,Petrol,Automatic,KA-05,699000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2022.0,Honda,City,1.5L I-VTEC V CVT 5TH GEN,63524.0,Petrol,Automatic,KA-19,995000.0,Mass Market,Direct Seller,bellahalli,560064.0,4.0
Bangalore,2022.0,Mahindra,Thar,LX PETROL HT 4WD AT,15414.0,Petrol,Automatic,KA-03,1200000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2023.0,Toyota,URBAN CRUISER HYRYDER,G HYBRID,64269.0,Hybrid,Automatic,KA-01,1457000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2019.0,Maruti Suzuki,Swift,LXI,61483.0,Petrol,Manual,KA-05,459000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2015.0,Honda,Brio,S MT,61083.0,Petrol,Manual,KA-20,319000.0,Mass Market,Direct Seller,bellahalli,560064.0,11.0
Bangalore,2021.0,Maruti Suzuki,Swift,ZXI AMT,54257.0,Petrol,Automatic,KA-51,594000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2018.0,Datsun,Go,T (O),68548.0,Petrol,Manual,KA-22,179000.0,Mass Market,Direct Seller,bellahalli,560064.0,8.0
