brand,model,variant,color,segment_class,fuel_type,transmission,vehicle_age,odometer_reading,km_per_year,owner_count,brand_tier,age_km_interaction,ownership_trust_score,vehicle_health_score,is_high_mileage,seller_type,inspected,selling_price,year
hyundai,grand i10,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,9,43629.0,4847.7,1,2,392661.0,100,68.6,0,dealer,0,425000.0,2017
mahindra,thar,lx p 2wd at ht,unknown,mid,petrol,automatic,2,31978.0,15989.0,1,2,63956.0,100,90.8,1,dealer,0,1339000.0,2024
volkswagen,vento,highline diesel 1.6,unknown,mid,diesel,manual,13,119233.0,9171.8,1,2,1550029.0,100,49.1,0,dealer,0,329000.0,2013
renault,kwid,rxt 1.0 amt,unknown,economy,petrol,automatic,9,36668.0,4074.2,1,1,330012.0,100,69.3,0,dealer,0,306000.0,2017
mg,astor,sharp ex 1.5 mt,unknown,premium,petrol,manual,4,84055.0,21013.8,1,3,336220.0,100,79.6,1,dealer,0,757000.0,2022
nissan,terrano,xv d thp 110 ps,unknown,mid,diesel,manual,12,83912.0,6992.7,1,2,1006944.0,100,55.6,0,dealer,0,413000.0,2014
skoda,rapid,ambition 1.6 mpi mt,unknown,mid,petrol,manual,9,69685.0,7742.8,1,2,627165.0,100,66.0,0,dealer,0,564000.0,2017
maruti suzuki,swift,zxi plus amt,unknown,economy,petrol,automatic,2,26760.0,13380.0,1,1,53520.0,100,91.3,0,dealer,0,765000.0,2024
maruti suzuki,swift,zxi,unknown,economy,petrol,manual,13,83675.0,6436.5,1,1,1087775.0,100,52.6,0,dealer,0,392000.0,2013
maruti suzuki,baleno,zeta cvt petrol 1.2,unknown,economy,petrol,automatic,7,15900.0,2271.4,1,1,111300.0,100,77.4,0,dealer,0,588000.0,2019
tata,nexon,xz plus petrol,unknown,economy,petrol,manual,4,50400.0,12600.0,1,1,201600.0,100,83.0,0,dealer,0,813000.0,2022
maruti suzuki,dzire,vxi,unknown,economy,petrol,manual,3,40301.0,13433.7,1,1,120903.0,100,87.0,0,dealer,0,590000.0,2023
ford,ecosport,titanium 1.5l petrol at,unknown,mid,petrol,automatic,10,77321.0,7732.1,1,2,773210.0,100,62.3,0,dealer,0,446000.0,2016
renault,kwid,rxt 1.0 amt (o),unknown,economy,petrol,automatic,8,41672.0,5209.0,1,1,333376.0,100,71.8,0,dealer,0,310000.0,2018
maruti suzuki,alto k10,vxi,unknown,economy,petrol,manual,9,68037.0,7559.7,1,1,612333.0,100,66.2,0,dealer,0,230000.0,2017
hyundai,creta,sx (o) at 1.5 diesel,unknown,mid,diesel,automatic,6,134586.0,22431.0,1,2,807516.0,100,68.5,1,dealer,0,1119000.0,2020
honda,city,1.5l i-vtec v mt,unknown,mid,petrol,manual,6,85530.0,14255.0,1,2,513180.0,100,73.4,0,dealer,0,615000.0,2020
mahindra,thar,lx p 2wd at ht,unknown,mid,petrol,automatic,2,11232.0,5616.0,1,2,22464.0,100,92.9,0,dealer,0,1260000.0,2024
volkswagen,vento,highline 1.6 mpi,unknown,mid,petrol,manual,12,64327.0,5360.6,1,2,771924.0,100,57.6,0,dealer,0,317000.0,2014
renault,duster,rxz 1.5 petrol mt,unknown,economy,petrol,manual,5,47145.0,9429.0,1,1,235725.0,100,80.3,0,dealer,0,649000.0,2021
tata,nexon,xz plus diesel dual tone,unknown,economy,diesel,manual,7,30617.0,4373.9,1,1,214319.0,100,75.9,0,dealer,0,729000.0,2019
renault,kwid,rxl,unknown,economy,petrol,manual,10,76203.0,7620.3,1,1,762030.0,100,62.4,0,dealer,0,232000.0,2016
maruti suzuki,swift,vxi,unknown,economy,petrol,manual,13,81472.0,6267.1,1,1,1059136.0,100,52.9,0,dealer,0,350000.0,2013
hyundai,elite i20,sportz plus 1.2,unknown,mid,petrol,manual,7,79054.0,11293.4,1,2,553378.0,100,71.1,0,dealer,0,580000.0,2019
maruti suzuki,swift,vxi,unknown,economy,petrol,manual,13,85693.0,6591.8,1,1,1114009.0,100,52.4,0,dealer,0,340000.0,2013
tata,nexon,xza plus diesel,unknown,economy,diesel,automatic,4,101841.0,25460.2,1,1,407364.0,100,77.8,1,dealer,0,699000.0,2022
maruti suzuki,dzire,zxi plus,unknown,economy,petrol,manual,8,87095.0,10886.9,1,1,696760.0,100,67.3,0,dealer,0,568000.0,2018
maruti suzuki,alto k10,vxi amt,unknown,economy,petrol,automatic,10,87475.0,8747.5,1,1,874750.0,100,61.3,0,dealer,0,272000.0,2016
renault,kwid,climber 1.0,unknown,economy,petrol,manual,7,60345.0,8620.7,1,1,422415.0,100,73.0,0,dealer,0,226000.0,2019
maruti suzuki,celerio,zxi amt,unknown,economy,petrol,automatic,9,16628.0,1847.6,1,1,149652.0,100,71.3,0,dealer,0,392000.0,2017
hyundai,elite i20,sportz 1.2,unknown,mid,petrol,manual,9,112457.0,12495.2,1,2,1012113.0,100,61.8,0,dealer,0,458000.0,2017
kia,seltos,gtx 1.4 petrol,unknown,mid,petrol,manual,7,34413.0,4916.1,1,2,240891.0,100,75.6,0,dealer,0,890000.0,2019
hyundai,venue,sx 1.0 turbo imt,unknown,mid,petrol,manual,6,44620.0,7436.7,1,2,267720.0,100,77.5,0,dealer,0,700000.0,2020
honda,city,1.5l i-vtec vx cvt,unknown,mid,petrol,automatic,10,101837.0,10183.7,1,2,1018370.0,100,59.8,0,dealer,0,580000.0,2016
hyundai,creta,sx (o) 1.4 turbo dct,unknown,mid,petrol,automatic,3,26136.0,8712.0,1,2,78408.0,100,88.4,0,dealer,0,1688000.0,2023
skoda,rapid,active 1.0 tsi at,unknown,mid,petrol,automatic,6,84807.0,14134.5,1,2,508842.0,100,73.5,0,dealer,0,650000.0,2020
volkswagen,vento,highline petrol at,unknown,mid,petrol,automatic,13,74967.0,5766.7,1,2,974571.0,100,53.5,0,dealer,0,380000.0,2013
maruti suzuki,swift,vdi,unknown,economy,diesel,manual,14,69332.0,4952.3,1,1,970648.0,100,51.1,0,dealer,0,326000.0,2012
tata,harrier,xza 2.0l,unknown,economy,diesel,automatic,6,134949.0,22491.5,1,1,809694.0,100,68.5,1,dealer,0,1081000.0,2020
hyundai,elite i20,asta 1.2,unknown,mid,petrol,manual,9,47559.0,5284.3,1,2,428031.0,100,68.2,0,dealer,0,475000.0,2017
hyundai,venue,sx 1.5 crdi,unknown,mid,diesel,manual,5,39098.0,7819.6,1,2,195490.0,100,81.1,0,dealer,0,784000.0,2021
maruti suzuki,baleno,zeta cvt petrol 1.2,unknown,economy,petrol,automatic,9,61895.0,6877.2,1,1,557055.0,100,66.8,0,dealer,0,530000.0,2017
hyundai,elite i20,sportz plus 1.2 cvt,unknown,mid,petrol,automatic,7,71422.0,10203.1,1,2,499954.0,100,71.9,0,dealer,0,575000.0,2019
maruti suzuki,dzire,vxi,unknown,economy,petrol,manual,2,14823.0,7411.5,1,1,29646.0,100,92.5,0,dealer,0,661000.0,2024
tata,nexon,creative + sunroof 1.2 petrol,unknown,economy,petrol,manual,3,13404.0,4468.0,1,1,40212.0,100,89.7,0,dealer,0,935000.0,2023
renault,kwid,rxt 0.8,unknown,economy,petrol,manual,8,67307.0,8413.4,1,1,538456.0,100,69.3,0,dealer,0,247000.0,2018
tata,nexon,xz plus petrol,unknown,economy,petrol,manual,4,26037.0,6509.2,1,1,104148.0,100,85.4,0,dealer,0,815000.0,2022
kia,seltos,htx ivt 1.5 petrol,unknown,mid,petrol,automatic,6,105627.0,17604.5,1,2,633762.0,100,71.4,1,dealer,0,825000.0,2020
maruti suzuki,celerio,zxi amt,unknown,economy,petrol,automatic,9,40600.0,4511.1,1,1,365400.0,100,68.9,0,dealer,0,364000.0,2017
honda,city,1.5l i-vtec v mt,unknown,mid,petrol,manual,7,148849.0,21264.1,1,2,1041943.0,100,64.1,1,dealer,0,543000.0,2019
skoda,rapid,1.5 tdi cr style plus at,unknown,mid,diesel,automatic,10,92976.0,9297.6,1,2,929760.0,100,60.7,0,dealer,0,430000.0,2016
volkswagen,vento,highline diesel 1.6,unknown,mid,diesel,manual,12,120944.0,10078.7,1,2,1451328.0,100,51.9,0,dealer,0,300000.0,2014
renault,duster,rxs cvt,unknown,economy,petrol,automatic,8,59237.0,7404.6,1,1,473896.0,100,70.1,0,dealer,0,474000.0,2018
renault,duster,rxz 1.3 turbo petrol mt,unknown,economy,petrol,manual,6,47986.0,7997.7,1,1,287916.0,100,77.2,0,dealer,0,696000.0,2020
hyundai,elite i20,magna 1.2,unknown,mid,petrol,manual,10,91784.0,9178.4,1,2,917840.0,100,60.8,0,dealer,0,470000.0,2016
maruti suzuki,baleno,alpha cvt petrol 1.2,unknown,economy,petrol,automatic,8,71685.0,8960.6,1,1,573480.0,100,68.8,0,dealer,0,519000.0,2018
hyundai,venue,sx 1.2 petrol,unknown,mid,petrol,manual,3,76179.0,25393.0,1,2,228537.0,100,83.4,1,dealer,0,830000.0,2023
maruti suzuki,ertiga,zxi+,unknown,economy,petrol,manual,9,57317.0,6368.6,1,1,515853.0,100,67.3,0,dealer,0,694000.0,2017
volkswagen,polo,comfortline 1.0l mpi,unknown,mid,petrol,manual,6,46180.0,7696.7,1,2,277080.0,100,77.4,0,dealer,0,566000.0,2020
maruti suzuki,dzire,zxi amt,unknown,economy,petrol,automatic,5,75765.0,15153.0,1,1,378825.0,100,77.4,1,dealer,0,523000.0,2021
ford,ecosport,titanium + 1.5l petrol at,unknown,mid,petrol,automatic,8,81814.0,10226.8,1,2,654512.0,100,67.8,0,dealer,0,750000.0,2018
maruti suzuki,alto k10,vxi,unknown,economy,petrol,manual,8,31197.0,3899.6,1,1,249576.0,100,72.9,0,dealer,0,330000.0,2018
tata,nexon,creative amt dual tone 1.2 petrol,unknown,economy,petrol,automatic,3,11735.0,3911.7,1,1,35205.0,100,89.8,0,dealer,0,930000.0,2023
renault,kwid,climber 1.0 amt,unknown,economy,petrol,automatic,8,31434.0,3929.2,1,1,251472.0,100,72.9,0,dealer,0,329000.0,2018
tata,nexon,fearless + sunroof dca dual tone 1.2 petrol,unknown,economy,petrol,automatic,3,36407.0,12135.7,1,1,109221.0,100,87.4,0,dealer,0,1116000.0,2023
renault,kwid,climber 1.0,unknown,economy,petrol,manual,9,113029.0,12558.8,1,1,1017261.0,100,61.7,0,dealer,0,188000.0,2017
