brand,model,vehicle_age,odometer_reading,fuel_type,transmission,segment_class,selling_price
honda,brio,11.0,53226.0,petrol,manual,economy,331128.0
mahindra,xuv500,9.0,76221.0,diesel,automatic,economy,850000.0
maruti suzuki,alto k10,12.0,77637.0,petrol,automatic,economy,219300.0
hyundai,verna,4.0,32500.0,petrol,manual,economy,1157000.0
ford,fiesta,14.0,106118.0,diesel,manual,economy,179000.0
hyundai,exter,2.0,4028.0,petrol,manual,economy,700000.0
maruti suzuki,swift,7.0,91023.0,petrol,automatic,economy,685000.0
honda,city,10.0,59619.0,petrol,manual,economy,580000.0
hyundai,elite i20,12.0,55612.0,diesel,manual,economy,490000.0
tata,nexon ev,5.0,65325.0,electric,automatic,economy,910000.0
hyundai,creta,6.0,134586.0,diesel,automatic,economy,958400.0
hyundai,i10,15.0,116500.0,petrol,automatic,economy,180000.0
tata,bolt,11.0,85243.0,petrol,manual,economy,248243.0
maruti suzuki,swift,13.0,83675.0,petrol,manual,economy,359851.0
maruti suzuki,baleno,9.0,74141.0,petrol,manual,economy,517602.0
volkswagen,polo,11.0,124500.0,petrol,manual,economy,433000.0
hyundai,creta,5.0,70000.0,petrol,automatic,economy,1174000.0
maruti suzuki,grand vitara,3.0,107462.0,hybrid,automatic,economy,1469100.0
kia,sonet,2.0,43674.0,diesel,manual,premium,1130000.0
tata,safari,5.0,64094.0,diesel,manual,economy,1500000.0
honda,city,10.0,97468.0,petrol,manual,economy,419000.0
mahindra,xuv300,6.0,66559.0,diesel,automatic,economy,900000.0
kia,sonet,6.0,91000.0,diesel,automatic,economy,850000.0
tata,tiago,7.0,39736.0,petrol,manual,economy,355000.0
skoda,superb,13.0,88569.0,petrol,automatic,economy,569200.0
volkswagen,polo,8.0,81991.0,diesel,manual,economy,650000.0
maruti suzuki,baleno,8.0,26500.0,petrol,automatic,economy,629000.0
honda,city,5.0,39500.0,petrol,manual,economy,1031000.0
nissan,sunny,13.0,127568.0,petrol,manual,economy,278000.0
renault,kwid,1.0,26777.0,petrol,automatic,economy,390000.0
hyundai,verna,13.0,61000.0,petrol,automatic,economy,446000.0
hyundai,i20,13.0,98054.0,diesel,manual,economy,379000.0
hyundai,venue,6.0,59737.0,petrol,manual,economy,770000.0
hyundai,eon,10.0,22500.0,petrol,manual,economy,317000.0
bmw,3 series,13.0,107050.0,diesel,automatic,luxury,815000.0
maruti suzuki,swift,5.0,53154.0,petrol,manual,economy,535000.0
renault,triber,6.0,47500.0,petrol,automatic,economy,523000.0
honda,city,12.0,48256.0,petrol,manual,economy,534000.0
tata,aria,15.0,95925.0,diesel,manual,economy,350000.0
honda,wr-v,8.0,61857.0,petrol,manual,economy,480000.0
ford,ecosport,13.0,164555.0,diesel,manual,economy,400000.0
hyundai,elite i20,10.0,39006.0,petrol,manual,economy,550000.0
mahindra,xuv700,4.0,81339.0,diesel,automatic,economy,1600000.0
mahindra,xuv500,7.0,44946.0,diesel,automatic,economy,1450000.0
tata,tiago,6.0,70041.0,petrol,manual,economy,550000.0
maruti suzuki,vitara brezza,9.0,196259.0,diesel,manual,economy,756000.0
volkswagen,vento,10.0,122224.0,diesel,automatic,economy,535000.0
maruti suzuki,celerio x,6.0,27099.0,petrol,automatic,economy,520000.0
hyundai,creta,9.0,76135.0,diesel,manual,economy,731719.0
maruti suzuki,swift,3.0,15203.0,petrol,automatic,economy,860000.0
ford,figo aspire,9.0,19500.0,petrol,manual,economy,380000.0
hyundai,grand i10 nios,4.0,22715.0,petrol,manual,economy,507000.0
skoda,fabia,15.0,97395.0,petrol,manual,economy,124500.0
volkswagen,vento,5.0,19500.0,petrol,manual,economy,814000.0
tata,tigor,9.0,79076.0,petrol,manual,economy,400000.0
mahindra,xuv500,10.0,66500.0,diesel,automatic,economy,1001000.0
volkswagen,polo,12.0,122000.0,petrol,manual,economy,412000.0
volkswagen,taigun,5.0,18000.0,petrol,manual,economy,1167000.0
mg,hector,5.0,35325.0,petrol,automatic,economy,1000000.0
honda,amaze,13.0,94392.0,petrol,manual,economy,295000.0
ford,ecosport,8.0,94000.0,diesel,manual,economy,657000.0
maruti suzuki,a star,14.0,115181.0,petrol,manual,economy,175000.0
renault,duster,10.0,113328.0,diesel,manual,economy,489683.0
maruti suzuki,baleno,8.0,35426.0,petrol,automatic,economy,553300.0
hyundai,eon,12.0,57877.0,petrol,manual,economy,178000.0
hyundai,creta,8.0,99270.0,diesel,manual,economy,749999.0
honda,amaze,3.0,20639.0,petrol,automatic,economy,845000.0
hyundai,creta,8.0,86720.0,petrol,automatic,economy,750000.0
honda,city,11.0,40855.0,petrol,automatic,economy,575000.0
kia,seltos,7.0,33813.0,petrol,automatic,economy,1180000.0
maruti suzuki,baleno,10.0,113265.0,petrol,manual,economy,514000.0
hyundai,i20 active,10.0,89943.0,petrol,manual,economy,495000.0
skoda,superb,14.0,75502.0,petrol,automatic,economy,646300.0
maruti suzuki,wagon r 1.0,10.0,60763.0,petrol,automatic,economy,270200.0
volkswagen,vento,6.0,92609.0,petrol,automatic,economy,699000.0
honda,city,14.0,58122.0,petrol,automatic,economy,360000.0
maruti suzuki,swift,3.0,35655.0,petrol,manual,economy,692000.0
maruti suzuki,swift,4.0,22164.0,petrol,automatic,economy,661200.0
maruti suzuki,s cross,8.0,131977.0,diesel,manual,economy,705000.0
tata,nexon,8.0,46500.0,petrol,automatic,economy,612000.0
hyundai,venue,3.0,19100.0,petrol,automatic,economy,1075000.0
maruti suzuki,swift,13.0,71826.0,diesel,manual,economy,400000.0
honda,amaze,2.0,1341.0,petrol,automatic,economy,952000.0
mahindra,thar,2.0,9000.0,petrol,automatic,economy,1590000.0
hyundai,i20,15.0,39378.0,petrol,manual,economy,240000.0
mahindra,thar,2.0,3500.0,petrol,automatic,economy,1562000.0
mg,hector,7.0,31631.0,petrol,automatic,economy,1160000.0
hyundai,venue,4.0,37600.0,diesel,manual,economy,1015000.0
ford,new figo,7.0,71359.0,petrol,manual,economy,422900.0
maruti suzuki,alto k10,13.0,92367.0,petrol,manual,economy,183000.0
mahindra,tuv300,9.0,70429.0,diesel,manual,economy,600000.0
hyundai,santro xing,22.0,43400.0,petrol,manual,economy,137000.0
renault,triber,6.0,57366.0,petrol,automatic,economy,495915.0
hyundai,new santro,7.0,59224.0,petrol,automatic,economy,360000.0
maruti suzuki,ertiga,11.0,51063.0,petrol,manual,economy,482600.0
renault,kwid,10.0,30000.0,petrol,manual,economy,284000.0
renault,kiger,5.0,32572.0,petrol,manual,economy,623000.0
maruti suzuki,wagon r duo,20.0,142241.0,petrol,manual,economy,117127.0
mahindra,xuv500,10.0,44500.0,diesel,manual,economy,836000.0
hyundai,new elantra,14.0,89409.0,diesel,automatic,economy,267000.0
kia,carens,2.0,38938.0,petrol,manual,economy,1200000.0
hyundai,grand i10,9.0,56940.0,petrol,manual,economy,419000.0
kia,sonet,5.0,77500.0,diesel,automatic,economy,974000.0
tata,zest,11.0,127285.0,petrol,manual,economy,289000.0
maruti suzuki,ertiga,8.0,71000.0,diesel,manual,economy,932000.0
mahindra,scorpio n,3.0,46500.0,diesel,automatic,economy,1903000.0
chevrolet,beat,15.0,93997.0,diesel,manual,economy,65000.0
maruti suzuki,brezza,2.0,18387.0,petrol,manual,economy,1057500.0
renault,kwid,5.0,19215.0,petrol,automatic,economy,396130.0
hyundai,i20,15.0,98088.0,petrol,manual,economy,256000.0
maruti suzuki,swift dzire,18.0,89619.0,petrol,manual,economy,191000.0
honda,city zx,20.0,107076.0,petrol,manual,economy,100000.0
hyundai,verna,1.0,15000.0,petrol,manual,economy,1359000.0
hyundai,venue,6.0,66206.0,petrol,automatic,economy,760000.0
ford,figo,13.0,62500.0,petrol,manual,economy,252000.0
honda,brio,11.0,59858.0,petrol,manual,premium,270079.0
tata,punch,2.0,65438.0,petrol,automatic,economy,970000.0
tata,curvv,1.0,7000.0,diesel,manual,economy,1743000.0
renault,triber,5.0,51164.0,petrol,manual,economy,580000.0
ford,endeavour,16.0,119172.0,diesel,manual,economy,535000.0
hyundai,eon,12.0,36000.0,petrol,manual,economy,251000.0
maruti suzuki,alto k10,7.0,43863.0,petrol,automatic,economy,340949.0
toyota,glanza,4.0,35702.0,petrol,manual,economy,816000.0
hyundai,verna,14.0,55642.0,petrol,manual,economy,429000.0
hyundai,creta,10.0,94315.0,petrol,manual,economy,660000.0
tata,zest,11.0,64888.0,diesel,manual,economy,291000.0
ford,ecosport,10.0,63000.0,diesel,manual,economy,481000.0
hyundai,verna,13.0,81462.0,petrol,automatic,economy,318500.0
maruti suzuki,dzire,8.0,27353.0,petrol,manual,economy,560000.0
maruti suzuki,baleno,9.0,75424.0,diesel,manual,economy,484900.0
maruti suzuki,ertiga,10.0,78396.0,petrol,manual,economy,659000.0
hyundai,grand i10,7.0,19693.0,petrol,manual,economy,524172.0
ford,figo,14.0,109500.0,diesel,manual,economy,236000.0
hyundai,verna,8.0,100800.0,petrol,manual,economy,648000.0
hyundai,xcent,12.0,38736.0,petrol,manual,economy,404000.0
honda,city,4.0,39000.0,petrol,automatic,economy,1195000.0
renault,kwid,10.0,29500.0,petrol,manual,economy,315000.0
maruti suzuki,baleno,6.0,52646.0,petrol,manual,economy,640000.0
tata,hexa,8.0,170542.0,diesel,manual,economy,565558.0
hyundai,i10,13.0,25461.0,petrol,manual,economy,300000.0
maruti suzuki,celerio,11.0,28006.0,petrol,automatic,economy,286781.0
maruti suzuki,baleno,10.0,41146.0,petrol,manual,economy,445000.0
hyundai,venue,6.0,39209.0,petrol,automatic,economy,700500.0
hyundai,venue,5.0,40698.0,petrol,manual,economy,800000.0
tata,tiago,9.0,113500.0,diesel,manual,economy,411000.0
jeep,compass,8.0,145797.0,diesel,manual,economy,640000.0
maruti suzuki,alto 800,14.0,31786.0,petrol,manual,economy,225728.0
toyota,corolla altis,16.0,85699.0,petrol,manual,economy,210000.0
hyundai,i10,11.0,38301.0,petrol,manual,economy,390000.0
maruti suzuki,swift,6.0,38532.0,petrol,manual,economy,640000.0
skoda,rapid,11.0,75393.0,diesel,manual,economy,356000.0
honda,city,8.0,59248.0,petrol,manual,economy,577400.0
hyundai,grand i10,9.0,22500.0,petrol,automatic,economy,527000.0
honda,city,10.0,182010.0,petrol,manual,economy,567000.0
renault,kwid,6.0,16345.0,petrol,automatic,economy,331200.0
hyundai,i20,14.0,73326.0,petrol,manual,economy,349000.0
honda,jazz,7.0,95475.0,petrol,automatic,economy,600000.0
audi,a6,16.0,167481.0,diesel,automatic,luxury,488000.0
hyundai,verna,5.0,30297.0,petrol,automatic,economy,907900.0
kia,seltos,4.0,22925.0,petrol,manual,economy,1152000.0
hyundai,creta,7.0,68684.0,petrol,manual,economy,871000.0
tata,nexon,3.0,52954.0,petrol,automatic,economy,1116000.0
maruti suzuki,swift,6.0,42000.0,petrol,automatic,economy,568000.0
skoda,rapid,8.0,68818.0,diesel,automatic,economy,650000.0
maruti suzuki,baleno,8.0,32476.0,petrol,automatic,economy,540000.0
hyundai,elite i20,10.0,67950.0,petrol,manual,economy,480000.0
hyundai,i10,12.0,49539.0,petrol,manual,economy,320000.0
ford,ecosport,10.0,73689.0,petrol,manual,economy,365000.0
renault,kiger,5.0,37833.0,petrol,manual,economy,443508.0
tata,nexon,4.0,74824.0,diesel,manual,economy,720000.0
mahindra,thar,5.0,21859.0,petrol,automatic,economy,1319000.0
maruti suzuki,swift,15.0,169525.0,diesel,manual,economy,300000.0
maruti suzuki,dzire,8.0,24626.0,petrol,automatic,economy,590000.0
hyundai,alcazar,5.0,43802.0,petrol,automatic,economy,1260000.0
hyundai,grand i10,12.0,102874.0,petrol,manual,economy,320000.0
hyundai,venue,2.0,77395.0,petrol,manual,economy,850000.0
hyundai,elite i20,9.0,112969.0,petrol,manual,economy,475000.0
hyundai,i10,15.0,41168.0,petrol,manual,economy,265000.0
fiat,avventura,11.0,68691.0,diesel,manual,economy,356000.0
renault,kiger,2.0,18913.0,petrol,manual,economy,702000.0
hyundai,new santro,8.0,108736.0,petrol,manual,economy,398000.0
honda,city,7.0,148849.0,petrol,manual,economy,508678.0
ford,figo,12.0,127897.0,diesel,manual,economy,190000.0
kia,sonet,3.0,88942.0,diesel,manual,economy,706700.0
audi,a6,7.0,45500.0,diesel,automatic,economy,2290000.0
kia,carens,4.0,115064.0,diesel,manual,economy,986900.0
skoda,superb,14.0,120824.0,diesel,manual,economy,450000.0
maruti suzuki,celerio x,8.0,49659.0,petrol,automatic,economy,376954.0
maruti suzuki,vitara brezza,7.0,110500.0,diesel,automatic,economy,717000.0
mahindra,marazzo,3.0,29189.0,diesel,manual,economy,1100000.0
maruti suzuki,dzire,6.0,40154.0,petrol,manual,economy,626000.0
maruti suzuki,s-cross,10.0,110000.0,diesel,manual,economy,575000.0
mahindra,xuv500,11.0,162371.0,diesel,manual,economy,800000.0
ford,ecosport,11.0,62000.0,petrol,automatic,economy,467000.0
mahindra,xuv 300,6.0,103000.0,petrol,manual,economy,724000.0
ford,ikon,23.0,98640.0,petrol,manual,economy,109000.0
nissan,terrano,12.0,123413.0,diesel,manual,economy,425000.0
hyundai,grand i10 nios,4.0,43703.0,petrol,manual,economy,600000.0
hyundai,elite i20,9.0,112457.0,petrol,manual,economy,419600.0
mahindra,xuv700,3.0,72983.0,diesel,manual,economy,1350000.0
mahindra,tuv300,10.0,76127.0,diesel,manual,economy,557000.0
tata,nexon,2.0,18612.0,petrol,automatic,economy,1389000.0
kia,seltos,5.0,75503.0,petrol,manual,economy,1044000.0
chevrolet,beat,13.0,132690.0,petrol,manual,economy,150000.0
kia,syros,1.0,9684.0,petrol,automatic,economy,1243700.0
mg,astor,1.0,11724.0,petrol,manual,economy,1345000.0
toyota,camry,19.0,39783.0,petrol,automatic,economy,745000.0
renault,kwid,8.0,52210.0,petrol,automatic,economy,343000.0
