iter	Passed	Remaining
977	84713	1905
978	84740	1817
979	84766	1729
980	84794	1642
981	84819	1554
982	84842	1467
983	84863	1379
984	84889	1292
985	84909	1205
986	84931	1118
987	84953	1031
988	84978	945
989	85002	858
990	85027	772
991	85050	685
992	85073	599
993	85096	513
994	85119	427
995	85145	341
996	85166	256
997	85191	170
998	85214	85
999	85238	0
