brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
tata,tiago,xz plus,whitefield,ka-13,petrol,manual,dealer,silver,7.0,76325.0,10903.6,2,1.0,560066.0,372400.0
mahindra,xuv700,ax 7 p at 7 str,whitefield,ka-03,petrol,automatic,dealer,blue,4.0,69216.0,17304.0,1,1.0,560066.0,1720000.0
maruti suzuki,brezza,zxi at,nexus shanti niketan mall,ka-04,petrol,automatic,dealer,white,1.0,20000.0,20000.0,1,1.0,560066.0,1249000.0
maruti suzuki,eeco,7 str std,unknown,ka-03,petrol,manual,unknown,unknown,2.0,14959.0,7479.5,1,,,620000.0
nissan,micra,xv cvt,whitefield,ka-51,petrol,automatic,dealer,unknown,12.0,90333.0,7527.8,1,1.0,560066.0,303800.0
honda,jazz,sv,koramangala,ka-41,petrol,manual,dealer,grey,11.0,50487.0,4589.7,1,1.0,560034.0,381366.0
maruti suzuki,baleno,alpha,unknown,ka-53,petrol,manual,unknown,unknown,8.0,45939.0,5742.4,1,,,630200.0
maruti suzuki,fronx,delta plus mt,bannerghatta,ka-05,petrol,manual,dealer,blue,2.0,30500.0,15250.0,1,1.0,560076.0,820000.0
mahindra,xuv700,ax 7 luxury d at 7 str,whitefield,ka-03,diesel,automatic,dealer,unknown,3.0,71729.0,23909.7,1,1.0,560066.0,1859000.0
hyundai,creta,s plus knight,unknown,ka-51,petrol,manual,dealer,unknown,3.0,39931.0,13310.3,1,,,1293000.0
hyundai,venue,sx,gandhi nagar,ka-63,petrol,manual,dealer,white,2.0,20652.0,10326.0,1,1.0,560009.0,863300.0
mg,hector,sharp,gandhi nagar,ka-27,diesel,manual,dealer,white,5.0,44255.0,8851.0,2,1.0,560009.0,1106300.0
mahindra,xuv700,ax5 mt 7 str,hebbal,ka-05,diesel,manual,dealer,unknown,2.0,31500.0,15750.0,1,1.0,562157.0,1781000.0
maruti suzuki,celerio,zxi amt (o,hebbal,ka-53,petrol,automatic,dealer,blue,10.0,82379.0,8237.9,2,1.0,560064.0,289000.0
tata,zest,xt,rajajinagar,ka-13,petrol,manual,dealer,blue,12.0,74000.0,6166.7,3,1.0,560064.0,307000.0
hyundai,eon,magna +,gandhi nagar,ka-51,petrol,manual,dealer,white,8.0,84569.0,10571.1,1,1.0,560009.0,203471.0
ford,ecosport,titanium at,hebbal,ka-51,petrol,automatic,dealer,unknown,12.0,73109.0,6092.4,1,1.0,560064.0,410548.0
hyundai,verna,sx,hebbal,ka-51,petrol,manual,dealer,silver,7.0,52813.0,7544.7,2,1.0,560064.0,690000.0
hyundai,verna,fluidic sx,koramangala,ka-01,petrol,manual,dealer,black,12.0,70077.0,5839.8,3,1.0,560034.0,354100.0
mahindra,xuv700,ax 5 at 7 str,hebbal,ka-09,diesel,automatic,dealer,unknown,3.0,36000.0,12000.0,1,1.0,560103.0,1838000.0
maruti suzuki,alto,lxi,yeshwanthpur,ka-05,petrol,manual,dealer,grey,13.0,49012.0,3770.2,3,1.0,560066.0,200000.0
maruti suzuki,swift,zxi amt,whitefield,ka-03,petrol,automatic,dealer,red,8.0,149965.0,18745.6,1,1.0,560066.0,407000.0
maruti suzuki,alto,lxi,whitefield,ka-05,petrol,manual,dealer,unknown,12.0,59414.0,4951.2,2,1.0,560066.0,213123.0
renault,kwid,rxt amt (o,hebbal,ka-51,petrol,automatic,dealer,brown,5.0,19215.0,3843.0,1,1.0,560064.0,396130.0
skoda,octavia,l&k,hebbal,ka-02,diesel,automatic,dealer,black,8.0,94500.0,11812.5,2,0.0,560103.0,1240000.0
hyundai,tucson,gls 2wd at,whitefield,ka-53,petrol,automatic,dealer,white,4.0,12220.0,3055.0,2,1.0,560066.0,1541452.0
hyundai,creta,sx (o) 7 dct,hebbal,ka-01,petrol,automatic,dealer,unknown,6.0,21000.0,3500.0,1,1.0,560103.0,1370000.0
kia,seltos,htx plus imt,gandhi nagar,ka-05,diesel,manual,dealer,red,3.0,78022.0,26007.3,1,1.0,560009.0,1200000.0
tata,punch,creative plus amt,unknown,ka-53,petrol,automatic,dealer,unknown,1.0,12268.0,12268.0,1,,,860215.0
renault,kwid,rxt,nexus shanti niketan mall,ka-53,petrol,manual,dealer,unknown,9.0,83500.0,9277.8,1,0.0,560066.0,274000.0
hyundai,creta,unknown,whitefield,ka-53,petrol,automatic,dealer,silver,8.0,72006.0,9000.8,1,1.0,560066.0,845000.0
maruti suzuki,vitara brezza,zdi plus ags,bannerghatta,hr-26,diesel,automatic,dealer,red,7.0,110500.0,15785.7,1,0.0,560076.0,699000.0
kia,sonet,gtx plus at,unknown,ka-03,diesel,automatic,dealer,unknown,6.0,91000.0,15166.7,1,,,850000.0
hyundai,verna,fluidic ex,unknown,ka-50,diesel,manual,unknown,unknown,13.0,112432.0,8648.6,1,,,295335.0
maruti suzuki,s presso,vxi plus amt,hebbal,ka-05,petrol,automatic,dealer,silver,6.0,32305.0,5384.2,2,1.0,560023.0,339500.0
tata,tiago,revotron xt,unknown,ka-15,petrol,manual,dealer,unknown,6.0,49500.0,8250.0,1,,,352000.0
mahindra,xuv700,ax5 at 7 str,yeshwanthpur,ka-01,petrol,automatic,dealer,unknown,2.0,10524.0,5262.0,1,1.0,560022.0,1690000.0
renault,triber,rxz,hebbal,ka-51,petrol,manual,dealer,blue,7.0,45080.0,6440.0,1,1.0,560064.0,470300.0
maruti suzuki,dzire,zxi,yeshwanthpur,ka-05,petrol,manual,dealer,silver,10.0,49600.0,4960.0,1,1.0,560022.0,432176.0
maruti suzuki,swift,zxi+,tv,ka-50,petrol,manual,dealer,red,2.0,20696.0,10348.0,1,1.0,560077.0,800000.0
hyundai,i20 active,s,whitefield,ka-04,petrol,manual,dealer,unknown,10.0,70482.0,7048.2,1,1.0,560066.0,469999.0
skoda,rapid,active at,unknown,ka-01,petrol,automatic,dealer,unknown,6.0,84807.0,14134.5,1,1.0,,637000.0
renault,kwid,rxl amt,next to big pitcher august grand apartment,ka-50,petrol,automatic,dealer,unknown,5.0,25738.0,5147.6,1,1.0,,458000.0
kia,seltos,gtx plus at,unknown,ka-01,diesel,automatic,dealer,unknown,7.0,67148.0,9592.6,1,,,1319000.0
maruti suzuki,wagon r,vxi,hebbal,ka-06,petrol,manual,dealer,unknown,8.0,45234.0,5654.2,1,1.0,560064.0,380000.0
skoda,kushaq,ambition at,whitefield,ka-01,petrol,automatic,dealer,red,5.0,70735.0,14147.0,1,1.0,560066.0,854300.0
datsun,redi-go,s amt,malleshwaram,ka-05,petrol,automatic,dealer,unknown,8.0,56500.0,7062.5,1,0.0,560003.0,270000.0
tata,zest,xms,unknown,ka-41,petrol,manual,unknown,unknown,10.0,92856.0,9285.6,1,,,322000.0
nissan,terrano,xv d thp 110 ps,bellandur,ka-51,diesel,manual,dealer,grey,13.0,173542.0,13349.4,2,1.0,560103.0,340000.0
maruti suzuki,celerio,zxi amt,unknown,ka-03,petrol,automatic,dealer,unknown,11.0,66071.0,6006.5,1,,,350000.0
maruti suzuki,dzire,vxi,unknown,ka-05,petrol,manual,unknown,unknown,12.0,135041.0,11253.4,1,,,320000.0
hyundai,grand i10,sportz (o) kappa,hebbal,ka-51,petrol,manual,dealer,blue,9.0,90452.0,10050.2,1,1.0,560064.0,393600.0
skoda,fabia,ambition plus,nandini layout,ka-01,petrol,manual,dealer,unknown,14.0,67904.0,4850.3,1,1.0,,205000.0
audi,a4,technology 40 tfsi,unknown,ka-03,petrol,automatic,dealer,unknown,4.0,45000.0,11250.0,1,0.0,,3157000.0
maruti suzuki,ciaz,alpha shvs,gandhi nagar,ka-01,petrol,manual,dealer,blue,7.0,51927.0,7418.1,1,1.0,560009.0,694032.0
nissan,magnite,xv premium,whitefield,ka-53,petrol,manual,dealer,red,3.0,69400.0,23133.3,1,1.0,560066.0,613808.0
ford,ecosport,titanium,hebbal,ka-03,diesel,manual,dealer,orange,12.0,113828.0,9485.7,2,1.0,560064.0,420000.0
ford,figo,duratec exi,malleshwaram,ka-02,petrol,manual,dealer,white,15.0,64500.0,4300.0,1,0.0,560003.0,211000.0
maruti suzuki,dzire,vxi,unknown,od-17,petrol,manual,dealer,unknown,13.0,101994.0,7845.7,1,,,260000.0
hyundai,grand i10,sportz kappa,hebbal,ka-20,petrol,manual,dealer,grey,7.0,68190.0,9741.4,2,1.0,560064.0,368911.0
mahindra,bolero neo,n 10,jp nagar,ka-05,diesel,manual,dealer,grey,5.0,47380.0,9476.0,1,1.0,560078.0,900341.0
maruti suzuki,baleno,zeta at,mysore road,ka-01,petrol,automatic,dealer,white,10.0,90500.0,9050.0,3,0.0,560039.0,412000.0
renault,duster,85 ps rxs mt,whitefield,ka-03,diesel,manual,dealer,brown,7.0,116516.0,16645.1,1,1.0,560066.0,625500.0
volkswagen,polo,highline1.2l,5 floor building 5 floor building,ka-03,petrol,manual,dealer,red,13.0,77551.0,5965.5,3,1.0,560066.0,395000.0
maruti suzuki,baleno,alpha,hebbal,ka-51,petrol,manual,dealer,white,9.0,67816.0,7535.1,1,1.0,560023.0,509000.0
hyundai,eon,magna,bannerghatta,ka-01,petrol,manual,dealer,grey,13.0,75000.0,5769.2,1,0.0,560076.0,222000.0
skoda,kushaq,ambition mt,hebbal,ka-03,petrol,manual,dealer,white,4.0,32500.0,8125.0,1,1.0,560103.0,942000.0
renault,scala,rxl,hebbal,ka-51,diesel,manual,dealer,unknown,12.0,91289.0,7607.4,1,1.0,,295000.0
mahindra,nuvosport,n8,hebbal,ka-16,diesel,manual,dealer,silver,10.0,100561.0,10056.1,3,1.0,560064.0,375500.0
tata,nexon,xz plus sunroof,hebbal,ka-27,petrol,manual,dealer,unknown,5.0,53113.0,10622.6,1,1.0,560064.0,699900.0
renault,kiger,rxz cvt,nisarga layout harapanahalli,ka-51,petrol,automatic,dealer,blue,2.0,24013.0,12006.5,1,1.0,560066.0,880000.0
tata,tiago,xza,hebbal,ka-22,petrol,automatic,dealer,white,7.0,31033.0,4433.3,2,1.0,560064.0,412594.0
mahindra,xuv700,ax7 at 6 str,hebbal,ka-05,petrol,automatic,dealer,black,2.0,28500.0,14250.0,1,1.0,562157.0,1953000.0
